Protein IDs,Filtered Protein IDs,Gene names,Remapped Gene Names,Reduced Gene Names
P08123,P08123,,COL1A2,COL1A2
A0A0G2JIW1;V9GZ37;P0DMV9;P0DMV8,P0DMV9;V9GZ37;P0DMV8;A0A0G2JIW1,,HSPA1A;HSPA1B,HSPA1A;HSPA1B
F8WCH0;P63267;F8WB63;F6UVQ4;C9JFL5;F6QUT6;P62736;B8ZZJ2,F6UVQ4;F8WCH0;C9JFL5;F6QUT6;F8WB63;B8ZZJ2;P63267;P62736,,ACTG2;ACTA2,ACTG2;ACTA2
A0A3B3ITK0;Q5RI53;P35442,P35442;A0A3B3ITK0;Q5RI53,,THBS2,THBS2
B1ALD9,B1ALD9,,POSTN,POSTN
D3YTG3;H7C4X4;H0YEL2;E9PPR9;H0YF57;H7C556;H0YEA0;H0YDN0;H0Y897;H7C4S3;H7C524;H7C4N5;H7C5S3;H0YF18;Q5JPC9,H0YF18;H7C4S3;D3YTG3;E9PPR9;H7C4N5;H0YDN0;Q5JPC9;H0YEL2;H7C524;H0YF57;H7C5S3;H0YEA0;H7C4X4;H7C556;H0Y897,,ABI3BP;DKFZp667H216,ABI3BP
H0Y4P7;Q99715;D6RGG3;H0Y991,Q99715;H0Y4P7;D6RGG3;H0Y991,,COL12A1,COL12A1
Q14767;G3V511;G3V3X5;H0YJ20,Q14767;G3V3X5;H0YJ20;G3V511,,LTBP2,LTBP2
O00622,O00622,,CCN1,CCN1
F5GXU1;Q6ZMR3;F5H5J4;F5GYU2;F5H155;F5GXH2;P00338;F5H8H6;F5GXC7;F5GXY2;F5GWW2,F5GXY2;F5GXU1;F5GXH2;F5H8H6;Q6ZMR3;F5H5J4;F5GYU2;P00338;F5H155;F5GXC7;F5GWW2,,LDHA;LDHAL6A;LDHC,LDHA;LDHAL6A;LDHC
I3L3H7;P02452,P02452;I3L3H7,,COL1A1,COL1A1
H7C435;P02461,P02461;H7C435,,COL3A1,COL3A1
P02751;H0Y7Z1,H0Y7Z1;P02751,,FN1,FN1
P04406,P04406,,GAPDH,GAPDH
P04899,P04899,,GNAI2,GNAI2
A0A3B3IRH9;P05997;A0A087WYX9,A0A3B3IRH9;A0A087WYX9;P05997,,COL5A2,COL5A2
H3BV48;H3BS34;P08253;H3BR66,H3BS34;P08253;H3BV48;H3BR66,,MMP2,MMP2
E9PHT9;D6RCN3;P08758;D6RBE9,D6RCN3;P08758;E9PHT9;D6RBE9,,ANXA5,ANXA5
F8WEI7;P09382,F8WEI7;P09382,,LGALS1,LGALS1
P12107;A0A2R8Y5N4;A0A2R8YDU3;H7C381;C9JMN2;A0A0U1RRA7;A0A2R8Y4I5;A0A2R8Y4M5,A0A2R8Y5N4;A0A2R8YDU3;P12107;A0A2R8Y4I5;A0A0U1RRA7;A0A2R8Y4M5;H7C381;C9JMN2,,COL11A1,COL11A1
A0A087X0S5;P12109,P12109;A0A087X0S5,,COL6A1,COL6A1
C9JH44;H7C0M5;P12110,P12110;H7C0M5;C9JH44,,COL6A2,COL6A2
P16104,P16104,,H2AX,H2AX
P21333;H0Y5C6;H0Y5F3,P21333;H0Y5F3;H0Y5C6,,FLNA,FLNA
H3BSU0;P23141;H3BQR4;H3BQV8,P23141;H3BQV8;H3BQR4;H3BSU0,,CES1,CES1
H0YA32;K7EMU3;D6R9X8;H0YA49;P26006,H0YA32;K7EMU3;H0YA49;P26006;D6R9X8,,ITGA3,ITGA3
P26038;V9GZ54,V9GZ54;P26038,,MSN,MSN
P29279,P29279,,CCN2,CCN2
F6U495;H0YN80;P35555,P35555;H0YN80;F6U495,,FBN1,FBN1
H7BYA5;H0Y5A9;A0A0U1RQT3;A0A3B3IT11;P98160,P98160;A0A3B3IT11;A0A0U1RQT3;H0Y5A9;H7BYA5,,HSPG2,HSPG2
H0YBB2;Q05707;Q4G0W3;J3QT83,H0YBB2;Q4G0W3;Q05707;J3QT83,,COL14A1,COL14A1
H0YKS8;A0A087WUV5;Q08431,H0YKS8;Q08431,,MFGE8,MFGE8
H3BP76;H3BUK7;H3BUP3;H3BPZ2;H3BNF2;I3L155;H3BNF6;Q14764;H3BQK6;H3BRL2,H3BUK7;I3L155;H3BPZ2;Q14764;H3BNF2;H3BUP3;H3BP76;H3BQK6;H3BNF6;H3BRL2,,MVP,MVP
Q15113,Q15113,,PCOLCE,PCOLCE
Q16270,Q16270,,IGFBP7,IGFBP7
H0YCE1;Q8WUJ3;H0YL56,H0YL56;H0YCE1;Q8WUJ3,,CEMIP,CEMIP
H0Y7G9;A0A3B3IU24;Q92743,H0Y7G9;Q92743;A0A3B3IU24,,HTRA1,HTRA1
Q99985,Q99985,,SEMA3C,SEMA3C
Q9BQE3;F5H5D3,F5H5D3;Q9BQE3,,TUBA1C,TUBA1C
M0QZ51;M0R2X8;M0R3A2;Q9BY76;M0R369;M0R0N8,Q9BY76;M0R3A2;M0QZ51;M0R369;M0R0N8;M0R2X8,,ANGPTL4,ANGPTL4
I3L3X5;I3NI29;Q9NRY6,Q9NRY6;I3NI29;I3L3X5,,PLSCR3,PLSCR3
