Protein IDs,Filtered Protein IDs
A0A0G2JIW1;V9GZ37;P0DMV9;P0DMV8,A0A0G2JIW1;P0DMV9;P0DMV8;V9GZ37
A0A3B3ITK0;Q5RI53;P35442,P35442;Q5RI53;A0A3B3ITK0
B1ALD9,B1ALD9
O00299,O00299
O00622,O00622
P04406,P04406
C9K031;C9JN98;P07093,P07093;C9K031;C9JN98
H3BV48;H3BS34;P08253;H3BR66,H3BS34;H3BV48;H3BR66;P08253
Q86UZ1;H0YDX6;H0Y5E4;P16070;E9PKC6;H0Y2P0;H0YDW7;H0YEV3;H0YD13;H0YE40;J3KN83;H0YEU1;H0YD17;H0YCV9;H0YD90,H0YD13;H0YE40;Q86UZ1;P16070;H0YDW7;E9PKC6;H0YDX6;H0YD90;H0Y2P0;H0YEV3;H0YEU1;H0Y5E4;H0YD17;J3KN83;H0YCV9
P21333;H0Y5C6;H0Y5F3,H0Y5C6;H0Y5F3;P21333
P26022,P26022
P29279,P29279
F6U495;H0YN80;P35555,P35555;F6U495;H0YN80
H0YB80;B7Z2E6,B7Z2E6;H0YB80
Q07954;Q6PJ72,Q6PJ72;Q07954
Q15113,Q15113
D6RBX4;H0YAH8;H0YAB8;H0Y9D7;S4R3C6;H0Y8L3;Q15582;H0Y8M8,H0YAB8;H0YAH8;H0Y8L3;Q15582;H0Y9D7;H0Y8M8;D6RBX4;S4R3C6
Q16270,Q16270
H0YCE1;Q8WUJ3;H0YL56,H0YCE1;H0YL56;Q8WUJ3
H0Y7G9;A0A3B3IU24;Q92743,A0A3B3IU24;Q92743;H0Y7G9
Q9BQE3;F5H5D3,F5H5D3;Q9BQE3
Q9UHI8,Q9UHI8
A0A0A0MT20;Q9Y6C2,Q9Y6C2;A0A0A0MT20
